location_id,area,city,state,latitude,longitude
L001,Kirk Valley,North Sarah,Michigan,-2.8767365,-62.888285
L002,Cory Vista,New Edgar,Washington,-54.1725655,-46.757126
L003,Daryl Extensions,Port Justinmouth,Michigan,-19.072773,27.938702
L004,Grant Glen,Sellerston,Texas,13.0952805,141.629215
L005,Garcia Neck,Port Allison,Wisconsin,8.239121,26.958565
L006,Smith Rapids,Bobbyport,Missouri,16.931649,-49.121678
L007,Michael Streets,Duranport,West Virginia,-66.185224,-142.948244
L008,John Plains,Lake Kristinton,Oklahoma,-83.706852,28.380354
L009,Dennis Branch,North Brenda,Maryland,15.1168605,-67.825285
L010,Flores Vista,Port Joseph,Louisiana,43.557465,35.970725
L011,Fletcher Way,Kristinmouth,Virginia,75.136376,37.311061
L012,Padilla Mall,Harperville,Colorado,67.024173,-132.150987
L013,Shannon Groves,New Terri,New Mexico,-32.855700,-43.485812
L014,Gary Green,Heatherton,Minnesota,-20.0159165,-56.592250
L015,Hunt Drives,Katieview,Alaska,-27.0450905,161.979865
L016,Adams Fort,West Joshua,Florida,50.7651005,79.950033
L017,Angela Lodge,North Rhonda,Illinois,-87.100226,137.192160
L018,Hill Station,South Pamela,Louisiana,-26.3557675,-45.616662
L019,Montgomery Gateway,Griffithmouth,Oregon,-42.1036725,-135.538145
L020,Eric Hills,Roberthaven,Indiana,-17.283908,77.339604
L021,Foley Cliff,Townsendton,Massachusetts,-15.590202,-12.046539
L022,White Tunnel,West Patrick,Idaho,-72.1556715,177.011384
L023,Perry Ferry,West Ricardo,Wisconsin,-34.5126195,123.347110
L024,Curtis Oval,East Ivanborough,New Hampshire,80.9467785,137.633606
L025,Lam Crescent,Natalieland,North Carolina,-13.1732415,-13.820985
L026,David Prairie,Santiagomouth,Texas,30.2490155,69.496528
L027,Brennan Center,Wrightview,Mississippi,34.843332,-45.676902
L028,Martinez Route,North Markbury,Florida,-81.586064,47.235479
L029,Garrett Burg,Sloanfurt,Ohio,19.655692,48.151009
L030,Singh Parkway,Kyliehaven,Idaho,-16.054089,-81.125326
L031,Edwards Plains,Simpsonmouth,Hawaii,-49.215086,-14.026366
L032,Jones Drive,Curtisborough,Texas,71.247860,63.839503
L033,Vargas Springs,Wileyside,Louisiana,79.2266635,-8.747218
L034,Jimmy Center,West Jessica,Maryland,-61.388234,132.145664
L035,John Cove,Mendozachester,Illinois,-1.5985835,151.857706
L036,Carolyn Vista,West Krista,Kansas,-84.514020,-71.236850
L037,Lance Radial,Lisafort,Utah,-86.2239315,-163.709227
L038,Graham Unions,Greggfort,Connecticut,17.5405135,-21.346135
L039,Elizabeth Locks,Ortizfort,South Carolina,71.8982575,-121.572650
L040,Hudson Drive,New Raymond,Arkansas,60.729422,142.672423
L041,Aguilar Pass,Alvareztown,Georgia,-78.1497135,-45.392367
L042,Miller Mountain,Louisborough,Colorado,-85.844081,-73.191150
L043,Flores Lights,North Lauriefort,New Hampshire,6.929712,139.889425
L044,Torres Mountain,East Alexandra,Michigan,-3.368991,-134.603572
L045,Emma Isle,New Johnborough,Maine,-49.0833975,6.087150
L046,Reynolds Curve,Dunnland,California,-0.5743355,92.834247
L047,Andrews Heights,New Kathleen,Massachusetts,26.135558,167.228122
L048,Stacy Track,East Adambury,Texas,89.728540,165.960372
L049,Joshua Drive,West Brian,Texas,-0.958627,-70.724002
L050,Brown Spring,North Jeff,New Jersey,50.0937205,104.647019
L051,Ramirez Streets,Robertfurt,Kansas,-55.1400675,71.105670
L052,Alex Mission,Williamstown,Colorado,87.791854,-105.417106
L053,Julie Streets,East Jason,Maine,-18.2502645,140.768401
L054,Carson Mountain,Cherylborough,Tennessee,-73.466071,44.118209
L055,Boyle Dam,Coleborough,California,-86.4827465,96.902754
L056,Henderson Creek,East Ryan,Missouri,-3.2376355,-85.999915
L057,Kimberly Points,Burnsview,North Dakota,-21.517575,43.868216
L058,Karen Cliff,Allisonmouth,Maine,64.4905405,130.609681
L059,Alex Curve,Taylorburgh,New Jersey,-74.4165385,-24.575253
L060,Donna Rapid,Louismouth,Utah,36.3958405,145.995626
L061,John Underpass,South Steven,Kansas,78.124866,134.953195
L062,Anthony Forge,Stephenfurt,Arizona,28.6395845,-118.528927
L063,Smith Estates,Phelpsstad,Arizona,59.972944,115.160809
L064,Orozco Gardens,Barnesfort,West Virginia,-62.137815,-28.592248
L065,Nicholas Fork,Meganhaven,New Jersey,-10.2166435,-120.947521
L066,Jeffrey Rapid,Port Coryborough,Maryland,11.864526,179.690102
L067,Rich Expressway,Schultzside,California,45.823727,47.923651
L068,Ashley Extensions,East Paulview,Virginia,-78.757636,40.210052
L069,Reed Glens,Raymondport,Maine,-54.371138,124.312914
L070,Gomez Hollow,Weeksview,Massachusetts,-89.983362,141.011373
L071,Evans Stream,Lake Jason,Arizona,17.588985,-90.729957
L072,Donald Row,Port Lisafort,Louisiana,-53.5065005,-23.435091
L073,Lee Mountains,Jasonborough,New Mexico,82.604152,100.602320
L074,Rodriguez Mill,Heathermouth,Wisconsin,80.6638715,173.565787
L075,Joseph Stream,West Stephen,Delaware,3.511312,-144.023052
L076,Williams Way,South Cynthia,Virginia,72.4185225,36.663652
L077,Smith Garden,Dianestad,Nebraska,-78.623513,3.642162
L078,Mora Green,Bowmantown,Louisiana,-69.248159,94.519918
L079,Arnold Fort,Wattschester,South Carolina,-24.956855,-83.140064
L080,Fuentes Creek,Phillipville,Nevada,39.5553675,-114.296252
L081,Ralph Port,New Jenniferbury,Florida,20.3881845,71.843732
L082,Patrick Mission,East Dustin,Mississippi,-33.3831585,-101.221523
L083,Jennifer Wall,Stanleyburgh,Kentucky,-42.433973,74.818339
L084,Jefferson Dam,Ericberg,Arkansas,45.748625,154.408149
L085,Harper Street,Mcdowellstad,South Dakota,51.081691,23.359048
L086,Harris Grove,North Steven,Louisiana,46.750782,31.695918
L087,Kevin Cove,New Mark,Ohio,21.6421265,-37.006518
L088,Simon Circles,Toddland,Rhode Island,59.105666,13.942052
L089,Kimberly Prairie,Marshallside,Kentucky,21.335916,60.307609
L090,Dorothy Forest,New Kathy,Louisiana,44.7566915,101.944052
L091,Carpenter Views,Lake Darin,Texas,-75.888308,-135.479510
L092,Kelly Valleys,Amyfort,New Jersey,-87.758770,63.996663
L093,Copeland Parks,New Marychester,Maine,58.2894405,129.761300
L094,Katherine Island,Sheenatown,Ohio,-34.9417075,14.768230
L095,Taylor Spur,Juanberg,New Mexico,23.9874675,-61.951997
L096,Burns Burg,North Saraborough,Alabama,79.9895945,33.146074
L097,Sarah Parkway,Sanchezside,Montana,-28.340057,15.699835
L098,Misty Well,North Carolmouth,Michigan,88.238947,37.845666
L099,Morgan Key,Lake Jennifertown,Nebraska,75.1629155,-25.221778
L100,Johnson Ville,Brockstad,Nebraska,83.0605075,-30.090097
